image	haze	primary	agriculture	clear	water	habitation	road	cultivation	slash_burn	cloudy	partly_cloudy	conventional_mine	bare_ground	artisinal_mine	blooming	selective_logging	blow_down
train_10217	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10220	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
train_10221	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_1023	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10231	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_10232	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10233	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10243	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10244	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10247	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10254	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10259	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
train_10266	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
train_10268	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
train_10269	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_1027	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10273	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
train_10274	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
train_1028	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10281	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10282	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10288	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10297	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_103	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
train_10302	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10304	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10311	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
train_10314	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10316	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10319	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10321	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10331	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10336	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10337	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10341	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10346	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0
train_10348	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
train_10351	0	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0
train_10353	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10357	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10360	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10366	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
train_10369	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
train_10374	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
train_10377	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10386	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10388	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_1039	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10392	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10395	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
train_10398	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10404	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_1041	0	1	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0
train_10416	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10418	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
train_10419	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10421	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_10422	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10428	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10436	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
train_10438	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
train_1044	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10441	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10443	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10446	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10455	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10459	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
train_10460	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
train_10461	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10465	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
train_10468	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
train_10473	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10479	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10486	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10488	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10492	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
train_10493	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_105	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_1050	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10503	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10508	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10509	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10510	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10512	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10519	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_1052	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10530	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10533	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10536	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10544	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0
train_10547	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_1055	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10557	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
train_10559	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_1056	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10562	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10564	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10566	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_10571	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10574	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10576	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
train_10585	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
train_10592	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0
train_10596	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
train_10597	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_106	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10603	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
train_10608	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10609	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_10615	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10620	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10622	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0
train_10628	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10630	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10631	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
train_10633	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0
train_10636	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10645	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	1	0
train_10646	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10649	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_1065	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
train_10658	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10661	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_10668	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_1067	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10670	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
train_10676	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10679	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10682	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10687	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_1069	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10690	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
train_10692	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10700	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10703	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
train_10706	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
train_10712	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0
train_10714	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10717	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
train_1072	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_1073	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
train_10730	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10732	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
train_10739	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
train_10744	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_1075	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10751	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10757	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10758	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10761	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10764	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
train_10767	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0
train_1077	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
train_10776	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
train_10781	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10782	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
train_10787	0	1	0	1	1	0	1	0	0	0	0	0	0	1	0	0	0
train_10790	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10793	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_10795	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10799	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10801	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
train_10805	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
train_10810	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10813	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10815	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0
train_10823	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10826	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_1083	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10832	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10834	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10837	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10841	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10844	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10846	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_1085	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10858	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
train_1086	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_10862	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10863	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
train_10866	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0
train_10873	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10879	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10881	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10886	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0
train_10887	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
train_10890	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
train_10893	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10901	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
train_10902	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
train_10905	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_10911	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10912	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
train_10916	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
train_10920	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
train_10924	0	1	0	1	1	0	0	0	1	0	0	0	1	0	0	1	0
train_10929	0	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0
train_10934	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
train_10936	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_1094	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
train_10947	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_1095	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10952	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_10956	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
train_1096	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_10963	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
train_10965	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_1097	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_10973	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0
train_1098	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
train_10986	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_10989	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
train_10990	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
train_10991	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
train_10993	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
train_11	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_1100	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11006	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11009	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_11015	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
train_11022	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0
train_11024	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11025	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_11031	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
train_11032	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_11036	0	1	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0
train_11037	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11038	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
train_1104	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
train_11042	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_11048	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11049	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
train_11057	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11062	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0
train_11066	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0
train_11067	0	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
train_11075	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_11082	0	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0
train_11088	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_1109	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11090	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
train_11098	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
train_11099	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_111	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_11101	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_11106	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11110	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
train_11115	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_11121	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
train_11123	0	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0
train_11128	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
train_11131	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11132	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_11134	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11141	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11144	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0
train_1115	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
train_11153	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
train_11154	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11159	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11160	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11164	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
train_1117	0	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0
train_11174	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0
train_11177	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11178	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_11182	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11187	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0
train_11191	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_11192	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11197	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11201	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11202	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11205	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11212	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11214	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
train_11226	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
train_11227	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11229	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_1123	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0
train_11236	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
train_1124	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11242	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
train_11245	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11246	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
train_11252	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11260	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
train_11262	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11265	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
train_11266	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
train_11268	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
train_11269	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
train_11274	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
